StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
2011/08/18 15:39:35.087798,83.062141,tcp,147.32.84.202,1078,  <?>,65.54.89.106,80,RPA_FPA,0,0,43065,40974671,1033777,flow=Background
2011/08/18 15:39:35.087915,497.720459,tcp,88.100.184.137,13121,  <?>,147.32.85.26,62860,RPA_PA,0,0,326962,132430976,7076046,flow=Background
2011/08/18 15:39:35.091007,971.288147,tcp,147.32.84.2,80,  <?>,218.75.208.58,3088,PA_A,0,0,7912,7356876,7153650,flow=Background
2011/08/18 15:39:35.091585,899.996399,tcp,90.181.84.58,54518,  <?>,147.32.84.19,993,PA_PA,0,0,48,5728,3008,flow=Background
2011/08/18 15:39:35.093493,38.753445,tcp,147.32.86.116,19083,   ?>,151.82.9.107,2185,RPA_,0,,7,456,456,flow=Background
2011/08/18 15:39:35.093680,662.994385,tcp,218.75.208.58,3095,  <?>,147.32.84.2,80,RA_PA,0,0,6137,5700818,158064,flow=Background
2011/08/18 15:39:35.094252,485.885773,tcp,218.75.208.58,3090,  <?>,147.32.84.2,80,FRA_PA,0,0,4153,3858512,106820,flow=Background
2011/08/18 15:39:35.095907,971.284058,udp,147.32.84.59,19146,  <->,128.178.78.132,51180,CON,0,0,118864,29360448,22872870,flow=Background-Established-cmpgw-CVUT
2011/08/18 15:39:35.096399,969.978516,tcp,147.32.84.164,57264,  <?>,64.12.68.227,443,PA_RPA,0,0,53,4279,1791,flow=From-Normal-V52-Grill
2011/08/18 15:39:35.096413,960.128662,tcp,147.32.84.164,43869,  <?>,64.12.73.134,443,PA_A,0,0,38,2280,1140,flow=From-Normal-V52-Grill
2011/08/18 15:39:35.096418,960.126648,tcp,147.32.84.164,58187,  <?>,205.188.8.253,443,PA_PA,0,0,129,22731,7130,flow=From-Normal-V52-Grill
2011/08/18 15:39:35.100918,931.970520,tcp,74.125.232.201,80,  <?>,147.32.84.170,32792,PA_PA,0,0,147,74900,13404,flow=To-Background-Stribrek
2011/08/18 15:39:35.102030,959.095459,tcp,74.125.232.216,443,  <?>,147.32.84.170,33389,PA_PA,0,0,191,61146,30372,flow=To-Background-Stribrek
2011/08/18 15:39:35.104063,40.137089,tcp,74.125.108.215,80,  <?>,147.32.86.194,3994,FPA_FA,0,0,4727,4558603,4452163,flow=Background
2011/08/18 15:39:35.106287,60.918018,tcp,147.32.85.8,39842,  <?>,74.125.232.195,80,FA_FA,0,0,8,528,264,flow=Background-google-analytics4
2011/08/18 15:39:35.106463,955.168884,tcp,141.70.81.136,48602,  <?>,147.32.84.229,13363,PA_PA,0,0,487,55798,35900,flow=Background
2011/08/18 15:39:35.111842,938.043274,udp,147.32.84.229,13363,  <->,85.230.179.76,35188,CON,0,0,43,8328,4371,flow=Background-UDP-Established
